,mmsi,timestamp,lon,lat,knots,cog,heading,rot,ship_type,nav_status,length,width,maxspeed,aisid,is_anomaly,anomaly_name,anomaly_value,no_prototype_found,assessment
10435,265547240,2018-07-03 10:29:37,11.79104,57.603902,0.1,184.9,273.0,25.7,Passenger,Under way using engine,,6.0,,221699,False,,,False,TN
10436,265547270,2018-07-03 10:29:37,11.787353,57.648922,6.0,56.1,55.0,-45.7,Passenger,Under way using engine,,8.0,,221700,False,,,False,TN
10437,257983000,2018-07-03 10:29:40,11.670827,57.62105,9.9,215.1,215.0,0.0,Tanker,Under way using engine,,27.0,,221704,False,,,False,TN
10438,265627630,2018-07-03 10:29:44,11.821508,57.624485,0.4,229.9,18.0,0.0,Cargo,Unknown value,,10.0,,221708,True,cog,5.41343863036392e-06,False,FN
10439,265547260,2018-07-03 10:29:47,11.842135,57.661547,0.1,185.0,149.0,0.0,Passenger,Under way using engine,,8.0,,221712,False,,,False,TN
10440,265547250,2018-07-03 10:29:48,11.84294,57.661443,0.1,185.4,252.0,0.0,Passenger,Under way using engine,,8.0,,221715,False,,,False,TN
10441,265625300,2018-07-03 10:29:57,11.812437,57.640742,9.2,172.5,,,Passenger,Unknown value,,6.0,,221725,False,,,False,TN
10442,219017582,2018-07-03 10:30:09,11.805667,57.564468,15.6,353.8,353.0,0.0,Cargo,Under way using engine,,4.0,,221736,False,,,False,TN
10443,265793820,2018-07-03 10:30:17,11.800697,57.625777,0.1,0.0,,,Cargo,Under way using engine,,,,221748,False,,,False,TN
10444,236111757,2018-07-03 10:30:29,11.67555,57.589267,7.9,201.0,202.0,0.0,Tanker,Under way using engine,,8.0,,221764,False,,,False,TN
10445,265547240,2018-07-03 10:30:30,11.791335,57.603918,1.5,75.2,240.0,-107.2,Passenger,Under way using engine,,6.0,,221765,False,,,False,TN
10446,265547270,2018-07-03 10:30:31,11.78945,57.64974,5.3,54.5,56.0,-7.5,Passenger,Under way using engine,,8.0,,221768,False,,,False,TN
10447,265509950,2018-07-03 10:30:31,11.792248,57.57011,3.7,113.6,299.0,,Passenger,Under way using engine,,8.0,,221769,False,,,False,TN
10448,266247000,2018-07-03 10:30:40,11.846733,57.685737,1.9,300.7,142.0,0.0,Cargo,Under way using engine,,26.0,,221780,False,,,False,TN
10449,265547240,2018-07-03 10:30:41,11.791185,57.603815,5.0,210.7,197.0,-206.4,Passenger,Under way using engine,,6.0,,221781,False,,,False,TN
10450,257983000,2018-07-03 10:30:41,11.667923,57.61877,10.0,214.8,215.0,0.0,Tanker,Under way using engine,,27.0,,221782,False,,,False,TN
10451,265507770,2018-07-03 10:30:42,11.844908,57.64451,7.0,277.3,281.0,11.4,Passenger,Under way using engine,,8.0,,221783,False,,,False,TN
